Year	Month	Days	Jday	Seasons
1950	1	31	1	1
1950	2	28	32	1
1950	3	31	60	2
1950	4	30	91	2
1950	5	31	121	2
1950	6	30	152	3
1950	7	31	182	3
1950	8	31	213	3
1950	9	30	244	4
1950	10	31	274	4
1950	11	30	305	4
1950	12	31	335	1
1951	1	31	1	1
1951	2	28	32	1
1951	3	31	60	2
1951	4	30	91	2
1951	5	31	121	2
1951	6	30	152	3
1951	7	31	182	3
1951	8	31	213	3
1951	9	30	244	4
1951	10	31	274	4
1951	11	30	305	4
1951	12	31	335	1
1952	1	31	1	1
1952	2	29	32	1
1952	3	31	61	2
1952	4	30	92	2
1952	5	31	122	2
1952	6	30	153	3
1952	7	31	183	3
1952	8	31	214	3
1952	9	30	245	4
1952	10	31	275	4
1952	11	30	306	4
1952	12	31	336	1
1953	1	31	1	1
1953	2	28	32	1
1953	3	31	60	2
1953	4	30	91	2
1953	5	31	121	2
1953	6	30	152	3
1953	7	31	182	3
1953	8	31	213	3
1953	9	30	244	4
1953	10	31	274	4
1953	11	30	305	4
1953	12	31	335	1
1954	1	31	1	1
1954	2	28	32	1
1954	3	31	60	2
1954	4	30	91	2
1954	5	31	121	2
1954	6	30	152	3
1954	7	31	182	3
1954	8	31	213	3
1954	9	30	244	4
1954	10	31	274	4
1954	11	30	305	4
1954	12	31	335	1
1955	1	31	1	1
1955	2	28	32	1
1955	3	31	60	2
1955	4	30	91	2
1955	5	31	121	2
1955	6	30	152	3
1955	7	31	182	3
1955	8	31	213	3
1955	9	30	244	4
1955	10	31	274	4
1955	11	30	305	4
1955	12	31	335	1
1956	1	31	1	1
1956	2	29	32	1
1956	3	31	61	2
1956	4	30	92	2
1956	5	31	122	2
1956	6	30	153	3
1956	7	31	183	3
1956	8	31	214	3
1956	9	30	245	4
1956	10	31	275	4
1956	11	30	306	4
1956	12	31	336	1
1957	1	31	1	1
1957	2	28	32	1
1957	3	31	60	2
1957	4	30	91	2
1957	5	31	121	2
1957	6	30	152	3
1957	7	31	182	3
1957	8	31	213	3
1957	9	30	244	4
1957	10	31	274	4
1957	11	30	305	4
1957	12	31	335	1
1958	1	31	1	1
1958	2	28	32	1
1958	3	31	60	2
1958	4	30	91	2
1958	5	31	121	2
1958	6	30	152	3
1958	7	31	182	3
1958	8	31	213	3
1958	9	30	244	4
1958	10	31	274	4
1958	11	30	305	4
1958	12	31	335	1
1959	1	31	1	1
1959	2	28	32	1
1959	3	31	60	2
1959	4	30	91	2
1959	5	31	121	2
1959	6	30	152	3
1959	7	31	182	3
1959	8	31	213	3
1959	9	30	244	4
1959	10	31	274	4
1959	11	30	305	4
1959	12	31	335	1
1960	1	31	1	1
1960	2	29	32	1
1960	3	31	61	2
1960	4	30	92	2
1960	5	31	122	2
1960	6	30	153	3
1960	7	31	183	3
1960	8	31	214	3
1960	9	30	245	4
1960	10	31	275	4
1960	11	30	306	4
1960	12	31	336	1
1961	1	31	1	1
1961	2	28	32	1
1961	3	31	60	2
1961	4	30	91	2
1961	5	31	121	2
1961	6	30	152	3
1961	7	31	182	3
1961	8	31	213	3
1961	9	30	244	4
1961	10	31	274	4
1961	11	30	305	4
1961	12	31	335	1
1962	1	31	1	1
1962	2	28	32	1
1962	3	31	60	2
1962	4	30	91	2
1962	5	31	121	2
1962	6	30	152	3
1962	7	31	182	3
1962	8	31	213	3
1962	9	30	244	4
1962	10	31	274	4
1962	11	30	305	4
1962	12	31	335	1
1963	1	31	1	1
1963	2	28	32	1
1963	3	31	60	2
1963	4	30	91	2
1963	5	31	121	2
1963	6	30	152	3
1963	7	31	182	3
1963	8	31	213	3
1963	9	30	244	4
1963	10	31	274	4
1963	11	30	305	4
1963	12	31	335	1
1964	1	31	1	1
1964	2	29	32	1
1964	3	31	61	2
1964	4	30	92	2
1964	5	31	122	2
1964	6	30	153	3
1964	7	31	183	3
1964	8	31	214	3
1964	9	30	245	4
1964	10	31	275	4
1964	11	30	306	4
1964	12	31	336	1
1965	1	31	1	1
1965	2	28	32	1
1965	3	31	60	2
1965	4	30	91	2
1965	5	31	121	2
1965	6	30	152	3
1965	7	31	182	3
1965	8	31	213	3
1965	9	30	244	4
1965	10	31	274	4
1965	11	30	305	4
1965	12	31	335	1
1966	1	31	1	1
1966	2	28	32	1
1966	3	31	60	2
1966	4	30	91	2
1966	5	31	121	2
1966	6	30	152	3
1966	7	31	182	3
1966	8	31	213	3
1966	9	30	244	4
1966	10	31	274	4
1966	11	30	305	4
1966	12	31	335	1
1967	1	31	1	1
1967	2	28	32	1
1967	3	31	60	2
1967	4	30	91	2
1967	5	31	121	2
1967	6	30	152	3
1967	7	31	182	3
1967	8	31	213	3
1967	9	30	244	4
1967	10	31	274	4
1967	11	30	305	4
1967	12	31	335	1
1968	1	31	1	1
1968	2	29	32	1
1968	3	31	61	2
1968	4	30	92	2
1968	5	31	122	2
1968	6	30	153	3
1968	7	31	183	3
1968	8	31	214	3
1968	9	30	245	4
1968	10	31	275	4
1968	11	30	306	4
1968	12	31	336	1
1969	1	31	1	1
1969	2	28	32	1
1969	3	31	60	2
1969	4	30	91	2
1969	5	31	121	2
1969	6	30	152	3
1969	7	31	182	3
1969	8	31	213	3
1969	9	30	244	4
1969	10	31	274	4
1969	11	30	305	4
1969	12	31	335	1
1970	1	31	1	1
1970	2	28	32	1
1970	3	31	60	2
1970	4	30	91	2
1970	5	31	121	2
1970	6	30	152	3
1970	7	31	182	3
1970	8	31	213	3
1970	9	30	244	4
1970	10	31	274	4
1970	11	30	305	4
1970	12	31	335	1
1971	1	31	1	1
1971	2	28	32	1
1971	3	31	60	2
1971	4	30	91	2
1971	5	31	121	2
1971	6	30	152	3
1971	7	31	182	3
1971	8	31	213	3
1971	9	30	244	4
1971	10	31	274	4
1971	11	30	305	4
1971	12	31	335	1
1972	1	31	1	1
1972	2	29	32	1
1972	3	31	61	2
1972	4	30	92	2
1972	5	31	122	2
1972	6	30	153	3
1972	7	31	183	3
1972	8	31	214	3
1972	9	30	245	4
1972	10	31	275	4
1972	11	30	306	4
1972	12	31	336	1
1973	1	31	1	1
1973	2	28	32	1
1973	3	31	60	2
1973	4	30	91	2
1973	5	31	121	2
1973	6	30	152	3
1973	7	31	182	3
1973	8	31	213	3
1973	9	30	244	4
1973	10	31	274	4
1973	11	30	305	4
1973	12	31	335	1
1974	1	31	1	1
1974	2	28	32	1
1974	3	31	60	2
1974	4	30	91	2
1974	5	31	121	2
1974	6	30	152	3
1974	7	31	182	3
1974	8	31	213	3
1974	9	30	244	4
1974	10	31	274	4
1974	11	30	305	4
1974	12	31	335	1
1975	1	31	1	1
1975	2	28	32	1
1975	3	31	60	2
1975	4	30	91	2
1975	5	31	121	2
1975	6	30	152	3
1975	7	31	182	3
1975	8	31	213	3
1975	9	30	244	4
1975	10	31	274	4
1975	11	30	305	4
1975	12	31	335	1
1976	1	31	1	1
1976	2	29	32	1
1976	3	31	61	2
1976	4	30	92	2
1976	5	31	122	2
1976	6	30	153	3
1976	7	31	183	3
1976	8	31	214	3
1976	9	30	245	4
1976	10	31	275	4
1976	11	30	306	4
1976	12	31	336	1
1977	1	31	1	1
1977	2	28	32	1
1977	3	31	60	2
1977	4	30	91	2
1977	5	31	121	2
1977	6	30	152	3
1977	7	31	182	3
1977	8	31	213	3
1977	9	30	244	4
1977	10	31	274	4
1977	11	30	305	4
1977	12	31	335	1
1978	1	31	1	1
1978	2	28	32	1
1978	3	31	60	2
1978	4	30	91	2
1978	5	31	121	2
1978	6	30	152	3
1978	7	31	182	3
1978	8	31	213	3
1978	9	30	244	4
1978	10	31	274	4
1978	11	30	305	4
1978	12	31	335	1
1979	1	31	1	1
1979	2	28	32	1
1979	3	31	60	2
1979	4	30	91	2
1979	5	31	121	2
1979	6	30	152	3
1979	7	31	182	3
1979	8	31	213	3
1979	9	30	244	4
1979	10	31	274	4
1979	11	30	305	4
1979	12	31	335	1
1980	1	31	1	1
1980	2	29	32	1
1980	3	31	61	2
1980	4	30	92	2
1980	5	31	122	2
1980	6	30	153	3
1980	7	31	183	3
1980	8	31	214	3
1980	9	30	245	4
1980	10	31	275	4
1980	11	30	306	4
1980	12	31	336	1
1981	1	31	1	1
1981	2	28	32	1
1981	3	31	60	2
1981	4	30	91	2
1981	5	31	121	2
1981	6	30	152	3
1981	7	31	182	3
1981	8	31	213	3
1981	9	30	244	4
1981	10	31	274	4
1981	11	30	305	4
1981	12	31	335	1
1982	1	31	1	1
1982	2	28	32	1
1982	3	31	60	2
1982	4	30	91	2
1982	5	31	121	2
1982	6	30	152	3
1982	7	31	182	3
1982	8	31	213	3
1982	9	30	244	4
1982	10	31	274	4
1982	11	30	305	4
1982	12	31	335	1
1983	1	31	1	1
1983	2	28	32	1
1983	3	31	60	2
1983	4	30	91	2
1983	5	31	121	2
1983	6	30	152	3
1983	7	31	182	3
1983	8	31	213	3
1983	9	30	244	4
1983	10	31	274	4
1983	11	30	305	4
1983	12	31	335	1
1984	1	31	1	1
1984	2	29	32	1
1984	3	31	61	2
1984	4	30	92	2
1984	5	31	122	2
1984	6	30	153	3
1984	7	31	183	3
1984	8	31	214	3
1984	9	30	245	4
1984	10	31	275	4
1984	11	30	306	4
1984	12	31	336	1
1985	1	31	1	1
1985	2	28	32	1
1985	3	31	60	2
1985	4	30	91	2
1985	5	31	121	2
1985	6	30	152	3
1985	7	31	182	3
1985	8	31	213	3
1985	9	30	244	4
1985	10	31	274	4
1985	11	30	305	4
1985	12	31	335	1
1986	1	31	1	1
1986	2	28	32	1
1986	3	31	60	2
