YEAR MONTH DAY PRCP TMAX TMIN TAVG
2000 1 1 0 31 21 26
2000 1 2 0.04 3.75 -5.19 -0.72
2000 1 3 0.02 7.63 -1.95 2.84
2000 1 4 4.66 -2.02 -17.64 -9.83
2000 1 5 8.14 4.54 -8.28 -1.87
2000 1 6 0 2.74 -10.82 -4.04
2000 1 7 0.26 3.95 -3.17 0.39
2000 1 8 0 -1.4 -18.36 -9.88
2000 1 9 0.45 0.45 -9.31 -4.43
2000 1 10 0.47 -0.54 -8.33 -4.44
2000 1 11 0 1.33 -16.61 -7.64
2000 1 12 0 6.51 -2.23 2.14
2000 1 13 0 -1.63 -12.01 -6.82
2000 1 14 0 1.19 -9.52 -4.17
2000 1 15 0 -1.09 -9.06 -5.08
2000 1 16 19.61 -8.5 -14.22 -11.36
2000 1 17 5.53 0.63 -1.7 -0.54
2000 1 18 0.01 -0.24 -5.24 -2.74
2000 1 19 1.63 -3.11 -14.19 -8.65
2000 1 20 0 0.59 -15.51 -7.46
2000 1 21 2.3 2.37 -4.53 -1.08
2000 1 22 0 2.69 -9.89 -3.6
2000 1 23 0 -0.23 -7.1 -3.66
2000 1 24 0 5.23 -12.21 -3.49
2000 1 25 0 -10.08 -32.01 -21.04
2000 1 26 0 -6.77 -17.01 -11.89
2000 1 27 0 4.3 -10.46 -3.08
2000 1 28 30.29 -2.08 -10.5 -6.29
2000 1 29 10.46 3.09 -3.64 -0.27
2000 1 30 7 -0.47 -8.14 -4.31
2000 1 31 9.86 8.23 -3.27 2.48
2000 2 1 1.46 -7.28 -10.7 -8.99
2000 2 2 3.84 2.9 -13.15 -5.12
2000 2 3 0 2.98 0.3 1.64
2000 2 4 0 -1.72 -23.2 -12.46
2000 2 5 0 8.22 -2.44 2.89
2000 2 6 0 -0.88 -16.9 -8.89
2000 2 7 0.6 3.01 -6.68 -1.84
2000 2 8 0 0.89 -6.82 -2.97
2000 2 9 0 -5.8 -22.03 -13.92
2000 2 10 0 -1.32 -8.91 -5.12
2000 2 11 0.02 -1.23 -8.2 -4.71
2000 2 12 0 0.08 -12.05 -5.99
2000 2 13 0 5.18 -10.36 -2.59
2000 2 14 0.02 2.01 -11.17 -4.58
2000 2 15 3.59 -9.06 -17.03 -13.05
