YEAR MONTH PRCP TMAX TMIN TAVG ET DIF
1949 1 128.4 2.81 -5.99 -1.59 17.28 8.8
1949 2 77.72 3.23 -8.53 -2.65 21.96 11.75
1949 3 41.06 7.48 -4.74 1.37 43.68 12.22
1949 4 98.35 14.99 1.2 8.1 82.86 13.79
1949 5 97.46 21.28 6 13.64 133.32 15.28
1949 6 43.58 28 12.82 20.41 172.88 15.18
1949 7 80.49 29.71 15.92 22.82 182.92 13.79
1949 8 91.07 28.1 13.47 20.79 165.85 14.63
1949 9 94.57 20.91 7.97 14.44 106 12.94
1949 10 71.05 19.48 4.99 12.23 82.34 14.49
1949 11 46.86 8.3 -2.39 2.96 33.06 10.68
1949 12 64.32 3.22 -7.7 -2.24 19.26 10.92
1950 1 127.38 2.66 -6.7 -2.02 17.35 9.36
1950 2 107.08 -0.46 -10.53 -5.49 16.51 10.07
1950 3 83.89 3.77 -8.34 -2.29 35.21 12.12
1950 4 93.02 12.05 -0.34 5.86 71.72 12.38
1950 5 97.41 19.71 6.05 12.88 123.02 13.66
1950 6 84.65 25.55 10.43 17.99 161.61 15.12
1950 7 70.58 27.19 13.21 20.2 172.3 13.98
1950 8 79.77 25.77 12.66 19.21 150.58 13.11
1950 9 47.82 20.12 7.53 13.83 102.58 12.59
1950 10 56.48 17.94 3.92 10.93 77.48 14.02
1950 11 167.05 10.47 -0.49 4.99 36.75 10.95
1950 12 133.32 2.37 -7.27 -2.45 17.85 9.64
1951 1 91.83 1.55 -8.78 -3.62 16.38 10.33
1951 2 114.58 2.93 -7.72 -2.39 22.01 10.64
1951 3 151.09 6.27 -3.23 1.52 39.26 9.49
1951 4 94.87 13.99 1.58 7.78 78.29 12.4
1951 5 80.76 21.5 5.87 13.69 135.7 15.63
1951 6 109.04 24 11.17 17.58 147.44 12.84
1951 7 74.89 27.35 14.28 20.82 169.13 13.07
1951 8 105.9 25.33 12.58 18.96 146.84 12.74
1951 9 88.33 22.03 8.43 15.23 110.48 13.6
1951 10 138.16 17.18 4.77 10.97 72.24 12.42
1951 11 141.94 6.53 -4.28 1.13 29.97 10.81
1951 12 135.24 2.38 -8.46 -3.04 18.07 10.84
1952 1 114.68 1.52 -8.08 -3.28 16.16 9.6
1952 2 73.47 2.42 -8.21 -2.89 20.54 10.62
1952 3 86.47 5.42 -4.57 0.43 37.57 9.99
1952 4 111.29 15.33 2.84 9.08 81.86 12.49
1952 5 142.96 18.56 4.96 11.76 118.25 13.6
1952 6 122.67 26.08 12.24 19.16 159.65 13.84
1952 7 101.69 29.44 15.11 22.28 183.95 14.33
1952 8 99.42 26.27 12.48 19.37 155.12 13.79
1952 9 110.7 23.11 8.75 15.93 116.82 14.36
1952 10 39.22 15.4 0.95 8.17 71.1 14.45
1952 11 63.19 8.54 -1.41 3.56 32.84 9.95
1952 12 115.68 3.42 -5.81 -1.19 18.89 9.23
1953 1 166.86 2.32 -7.36 -2.52 17.08 9.68
1953 2 70.42 3.49 -6.81 -1.66 21.9 10.3
1953 3 228.42 6.65 -3.2 1.73 39.96 9.85
1953 4 145.49 12.63 2.27 7.45 70.02 10.36
1953 5 143.41 20.61 7.87 14.24 124.04 12.74
1953 6 63.84 27.19 10.78 18.98 173.01 16.41
1953 7 46.42 27.87 13.56 20.71 176.66 14.31
1953 8 57.29 27.12 11.74 19.43 164.05 15.37
1953 9 51.49 23.57 8.19 15.88 120.75 15.39
1953 10 123.9 18.02 2.82 10.42 79.22 15.19
1953 11 60.34 11.45 -1.75 4.85 40.1 13.2
1953 12 115.72 5.27 -5.19 0.04 21.61 10.46
1954 1 68.39 -1.96 -12.05 -7.01 12.32 10.1
1954 2 55.65 4.35 -6.22 -0.93 23.18 10.57
1954 3 105.86 6.68 -4.53 1.08 41.21 11.21
1954 4 106.85 14.24 1.29 7.77 79.26 12.95
1954 5 146.62 17.75 5.86 11.8 110.73 11.89
1954 6 81.46 24.32 11.65 17.99 147.88 12.66
1954 7 79.27 26.38 13.18 19.78 165.53 13.2
1954 8 122.78 24.32 11.68 18 143.07 12.65
1954 9 185 19.72 8.71 14.22 97.09 11.01
1954 10 63.9 18.25 5.25 11.75 76.74 13
1954 11 159.97 8.42 -1.8 3.31 32.89 10.22
1954 12 107.13 1.55 -6.82 -2.63 16.43 8.37
1955 1 21.56 -0.82 -9.96 -5.39 13.48 9.14
1955 2 92.75 1.48 -8.86 -3.69 19.86 10.33
1955 3 108.09 4.78 -4.42 0.18 35.96 9.2
1955 4 131.61 13.6 2.26 7.93 75.28 11.34
1955 5 61.06 22.76 7.33 15.04 140.6 15.43
1955 6 91.71 23.77 11.39 17.58 144.81 12.38
1955 7 52.69 30.03 15.88 22.95 185.65 14.15
1955 8 357.3 27.93 15.17 21.55 157.32 12.76
1955 9 87.9 21.57 7.78 14.68 109.42 13.79
1955 10 345.24 15.62 3.9 9.76 67.21 11.71
1955 11 125.86 6.6 -1.69 2.46 28.08 8.28
1955 12 24.91 -1.76 -11.19 -6.48 12.93 9.43
1956 1 65.51 0.04 -7.36 -3.66 13.82 7.4
1956 2 102.41 1.11 -7.98 -3.44 18.31 9.09
1956 3 127.18 2.2 -7.64 -2.72 30.85 9.85
1956 4 102.14 9.75 -1.27 4.24 63.05 11.02
1956 5 47.76 17.82 3.07 10.44 117.67 14.75
1956 6 56.87 25.49 11.4 18.45 157.99 14.09
1956 7 94.49 25.12 12.79 18.95 156.5 12.33
1956 8 49.26 26.03 12.14 19.09 154.52 13.9
1956 9 168.82 18.96 6.74 12.85 97.91 12.22
1956 10 48.74 16.43 0.99 8.71 75 15.44
1956 11 82.03 9.22 -2.72 3.25 35.45 11.94
1956 12 125.61 2.64 -5.9 -1.63 17.7 8.55
1957 1 41.94 -2.6 -15.23 -8.91 11.35 12.63
1957 2 31.85 3.22 -7.88 -2.33 21.79 11.1
1957 3 40.03 6.99 -4.25 1.37 41.89 11.23
1957 4 65.29 15.08 1.56 8.32 82.74 13.52
1957 5 103.38 20.17 5.69 12.93 126.83 14.47
1957 6 89.75 27.14 12.99 20.06 165.34 14.14
1957 7 46.08 27.35 12.86 20.1 174.92 14.49
1957 8 41.34 25.41 10.01 17.71 156.59 15.4
1957 9 43.68 22.93 8.04 15.48 117.4 14.89
1957 10 53.33 15.52 1.9 8.71 70.44 13.61
1957 11 133.59 9.83 -0.77 4.53 35.42 10.6
1957 12 154.2 4.76 -4.01 0.37 20.16 8.77
1958 1 136.15 -0.75 -9.77 -5.26 13.53 9.02
1958 2 79.27 -2.75 -12.59 -7.67 13.44 9.84
1958 3 65.63 5.5 -2.16 1.67 35.15 7.67
1958 4 119.46 13.53 1.62 7.57 75.44 11.91
1958 5 70.89 17.05 4.68 10.86 109.35 12.37
1958 6 43.2 21.73 8.85 15.29 137.89 12.88
1958 7 126.64 25.78 14.85 20.31 152.81 10.93
1958 8 96.99 25.73 12.65 19.19 150.29 13.07
1958 9 118.9 21.08 8.57 14.83 105.48 12.51
1958 10 85.89 14.23 1.9 8.06 65.4 12.33
1958 11 99.82 8.08 -1.09 3.49 31.42 9.17
1958 12 45.95 -2.53 -12.91 -7.72 12.16 10.38
1959 1 99.26 -1.12 -11.45 -6.28 13.3 10.33
1959 2 58.43 -0.57 -12.9 -6.74 17.02 12.34
1959 3 110.15 5.31 -5.97 -0.33 38.71 11.28
1959 4 95.74 13.96 1.25 7.61 78.7 12.71
1959 5 28.65 21.85 7.09 14.47 135.13 14.76
1959 6 95.17 22.83 12 17.42 134.79 10.83
1959 7 126.75 27.21 15.31 21.26 163.25 11.91
1959 8 132.9 26.96 14.68 20.82 151.51 12.29
1959 9 38.72 23.76 10.29 17.02 115.93 13.47
1959 10 226.98 15.2 4.63 9.91 64.18 10.56
1959 11 125 7.72 -1.74 2.99 30.8 9.46
1959 12 110.74 2.15 -5.56 -1.71 16.63 7.71
