YEAR MONTH PRCP TMAX TMIN TAVG ET DIF
2000 1 100.73 1.68 -9.07 -3.69 16.62 10.75
2000 2 40.28 1.7 -9.53 -3.92 19.67 11.23
2000 3 111.02 5.95 -5.67 0.14 39.87 11.62
2000 4 67.05 14.63 0.55 7.59 82.11 14.08
2000 5 80.61 21.75 7.46 14.6 132.87 14.29
2000 6 96.4 24.56 11.62 18.09 149.91 12.94
2000 7 86.6 27.76 14.35 21.05 172.54 13.41
2000 8 94.42 27.97 14.6 21.28 160.6 13.37
2000 9 176.24 23.2 11.58 17.39 109.59 11.61
2000 10 97.28 17.93 5.31 11.62 75.26 12.62
2000 11 129.35 10.6 -1.16 4.72 37.63 11.76
2000 12 63.78 3.52 -7.04 -1.76 19.53 10.57
2001 1 74 -0.02 -11.25 -5.64 14.64 11.22
2001 2 120.21 2.04 -8.28 -3.12 19.94 10.32
2001 3 119.32 8.37 -2.85 2.76 44.91 11.22
2001 4 115.71 13.49 1.73 7.61 75.09 11.76
2001 5 43.98 22.95 6.84 14.9 142.36 16.11
2001 6 91.04 25.23 12.15 18.69 153.27 13.08
2001 7 96.96 29.51 15.06 22.29 184.78 14.45
2001 8 57.2 28.04 14.26 21.15 162.49 13.78
2001 9 104.77 22.92 9.86 16.39 112.9 13.05
2001 10 169.04 18.22 5.07 11.65 76.9 13.15
2001 11 63.91 11.33 -0.55 5.39 38.95 11.88
2001 12 125.89 5.16 -5.04 0.06 21.36 10.2
2002 1 73.11 3.65 -7.31 -1.83 19 10.96
2002 2 152.46 2.12 -8.32 -3.1 20.08 10.43
2002 3 150.71 6.14 -4.11 1.02 39.27 10.25
2002 4 82.53 14.72 1.66 8.19 80.93 13.06
2002 5 71.61 20.57 5.67 13.12 129.44 14.9
2002 6 68.83 26.85 13.25 20.05 162.02 13.59
2002 7 205.78 28.37 14.98 21.68 175.11 13.38
2002 8 73.46 27.62 14.19 20.91 159.42 13.43
2002 9 164.62 23.94 10.39 17.17 117.65 13.55
2002 10 239.8 17.29 3.55 10.42 75.34 13.74
2002 11 127.01 10.27 1.07 5.67 34.69 9.2
2002 12 87.58 2.57 -6.84 -2.14 18 9.42
2003 1 55.31 2.15 -8.79 -3.32 17.21 10.95
2003 2 68.61 2 -9.7 -3.85 20.89 11.7
2003 3 43.08 6.91 -4.61 1.15 42.42 11.52
2003 4 155.07 13.94 0.97 7.46 79 12.96
2003 5 73.14 21.11 6.85 13.98 130.78 14.25
2003 6 83.26 25.91 11.7 18.8 160.51 14.22
2003 7 25.56 29.76 14.76 22.26 187.94 15
2003 8 38.68 28.02 14.37 21.19 161.27 13.65
2003 9 46.17 24.34 9.73 17.03 120.77 14.61
2003 10 90.03 18.54 4.99 11.76 77.54 13.55
2003 11 95.62 10.43 0.08 5.26 35.73 10.35
2003 12 37.2 4.61 -6.6 -1 20.94 11.22
2004 1 70.09 1.92 -8.83 -3.45 16.9 10.75
2004 2 91.14 0.49 -10.07 -4.79 17.88 10.56
2004 3 41.21 6.64 -4.66 0.99 41.17 11.3
2004 4 152.88 13.71 2.26 7.98 75.17 11.45
2004 5 85.36 20.59 7.75 14.17 124.26 12.84
2004 6 74.5 26.6 11.35 18.98 166.72 15.24
2004 7 22.9 28.4 14.9 21.65 175.75 13.5
2004 8 43.71 27 13 20 158.92 14
2004 9 58.22 24.77 10.14 17.45 123.26 14.63
2004 10 181.61 18.77 4.88 11.83 79.52 13.89
2004 11 122.49 9.46 -1.06 4.2 34.78 10.52
2004 12 268.96 3.7 -4.86 -0.58 18.87 8.56
2005 1 147.72 0.25 -11.18 -5.47 14.98 11.43
2005 2 116.35 3.47 -8.85 -2.69 22.42 12.32
2005 3 58.27 6.69 -5.48 0.6 41.86 12.17
2005 4 40.73 15.19 0.76 7.97 84.34 14.42
2005 5 65.26 21.58 6.79 14.19 133.42 14.79
2005 6 84.59 26.19 12.72 19.46 158.73 13.46
2005 7 22.91 29.02 14.77 21.9 181.67 14.25
2005 8 103.41 27.84 14.46 21.15 160.1 13.38
2005 9 108.85 21.77 10.4 16.08 104.42 11.37
2005 10 16.66 18.3 2.74 10.52 80.46 15.56
2005 11 67.21 10.45 0.37 5.41 35.91 10.08
2005 12 75.67 2.16 -7.06 -2.45 17.46 9.22
2006 1 178.81 -0.08 -10.9 -5.49 14.55 10.83
2006 2 110.05 2.23 -8.4 -3.08 20.28 10.63
2006 3 39.31 5.81 -5.2 0.31 39.19 11.02
2006 4 79.5 15.48 2.04 8.76 83.89 13.44
2006 5 103.69 20.01 6.57 13.29 123.62 13.44
2006 6 73.25 25.87 12.2 19.03 158.13 13.67
2006 7 59.32 28.05 15.57 21.81 169.68 12.48
2006 8 89.73 27.51 13.64 20.57 160.55 13.86
2006 9 145.88 23.18 9.81 16.49 114.59 13.37
2006 10 34.45 18.81 4.92 11.87 79.63 13.89
2006 11 67.72 9.43 -2.17 3.63 35.56 11.6
2006 12 168.88 3.39 -5.51 -1.06 18.7 8.9
2007 1 48.14 1.71 -8.91 -3.6 16.63 10.62
2007 2 48.82 3.66 -9.15 -2.75 23.59 12.81
2007 3 36.46 5.77 -5.96 -0.1 39.99 11.73
2007 4 38.73 14.35 0.81 7.58 81.16 13.54
2007 5 96.86 20.05 7.65 13.85 121.45 12.39
2007 6 71.52 25.06 12.08 18.57 152.41 12.98
2007 7 123.02 28.23 15.04 21.64 173.52 13.2
2007 8 129.72 26.47 14.4 20.44 148.66 12.07
2007 9 85.44 23.01 9.94 16.48 112.39 13.06
2007 10 54.38 18.75 3.21 10.98 80.82 15.53
2007 11 131.49 12.3 0.26 6.28 40.23 12.04
2007 12 96.87 3.57 -5.14 -0.79 18.67 8.7
2008 1 88.94 0.02 -11.44 -5.71 14.71 11.46
2008 2 95.34 3.18 -9.76 -3.29 22.07 12.94
2008 3 154.78 6.65 -4.3 1.17 40.94 10.95
2008 4 29.26 15.41 1.27 8.34 84.71 14.14
2008 5 93.56 20.61 6.01 13.31 128.96 14.6
2008 6 67.4 26.01 12.12 19.07 159.48 13.88
2008 7 90.83 28.45 14.84 21.65 176.47 13.61
2008 8 58.48 27.61 14.67 21.14 157.39 12.94
